stage,dictionary_size_N,atomic_universe_size_m,OPT_exposed_milp,greedy,lp_rounding,local_cleanup,T_min_milp,timeout_rate,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,instance,family,activation,dim,modules,threshold_label,t
+D_drop,384,104,75.0,76.0,75.0,76.0,0.006352842785418034,0.0,16,,FamilyA_d3_M10_leakyrelu_seed0,FamilyA,leakyrelu,3,10,tight_true,-2.467
D_transfer,104,104,104.0,104.0,104.0,104.0,0.0010164743289351463,0.0,16,,FamilyA_d3_M10_abs_seed0,FamilyA,abs,3,10,tight_true,1.3146666666666664
+D_parent,104,104,104.0,104.0,104.0,104.0,0.0009150365367531776,0.0,16,,FamilyA_d3_M10_abs_seed0,FamilyA,abs,3,10,tight_true,1.3146666666666664
+D_drop,384,104,75.0,76.0,75.0,76.0,0.006510473787784576,0.0,16,,FamilyA_d3_M10_abs_seed0,FamilyA,abs,3,10,tight_true,1.3146666666666664
D_transfer,114,114,114.0,114.0,114.0,114.0,0.0010683583095669746,0.0,16,,FamilyA_d3_M10_maxout_seed0,FamilyA,maxout,3,10,tight_true,0.19999999999999996
+D_parent,114,114,114.0,114.0,114.0,114.0,0.0009526889771223068,0.0,16,,FamilyA_d3_M10_maxout_seed0,FamilyA,maxout,3,10,tight_true,0.19999999999999996
+D_drop,384,114,83.0,83.0,83.0,83.0,0.008857525885105133,0.0,16,,FamilyA_d3_M10_maxout_seed0,FamilyA,maxout,3,10,tight_true,0.19999999999999996
D_transfer,52,52,52.0,52.0,52.0,52.0,0.0008265599608421326,0.0,16,,FamilyB_d5_M6_relu_seed0,FamilyB,relu,5,6,tight_true,-2.35
+D_parent,52,52,52.0,52.0,52.0,52.0,0.0007625846192240715,0.0,16,,FamilyB_d5_M6_relu_seed0,FamilyB,relu,5,6,tight_true,-2.35
+D_drop,224,52,26.0,26.0,26.0,26.0,0.003641144372522831,0.0,16,,FamilyB_d5_M6_relu_seed0,FamilyB,relu,5,6,tight_true,-2.35
D_transfer,62,62,62.0,62.0,62.0,62.0,0.0008557727560400963,0.0,16,,FamilyB_d5_M6_maxout_seed0,FamilyB,maxout,5,6,tight_true,-0.9675000000000002
+D_parent,62,62,62.0,62.0,62.0,62.0,0.0007837070152163506,0.0,16,,FamilyB_d5_M6_maxout_seed0,FamilyB,maxout,5,6,tight_true,-0.9675000000000002
+D_drop,253,62,31.0,31.0,31.0,31.0,0.0036571165546774864,0.0,16,,FamilyB_d5_M6_maxout_seed0,FamilyB,maxout,5,6,tight_true,-0.9675000000000002
D_transfer,64,64,64.0,64.0,64.0,64.0,0.0009073764085769653,0.0,16,,FamilyB_d10_M6_relu_seed0,FamilyB,relu,10,6,tight_true,-1.866666666666667
+D_parent,64,64,64.0,64.0,64.0,64.0,0.0008100289851427078,0.0,16,,FamilyB_d10_M6_relu_seed0,FamilyB,relu,10,6,tight_true,-1.866666666666667
+D_drop,256,64,32.0,32.0,32.0,32.0,0.0036926791071891785,0.0,16,,FamilyB_d10_M6_relu_seed0,FamilyB,relu,10,6,tight_true,-1.866666666666667
D_transfer,64,64,64.0,64.0,64.0,64.0,0.000869343988597393,0.0,16,,FamilyB_d10_M6_maxout_seed0,FamilyB,maxout,10,6,tight_true,-2.1550000000000002
+D_parent,64,64,64.0,64.0,64.0,64.0,0.0007996577769517899,0.0,16,,FamilyB_d10_M6_maxout_seed0,FamilyB,maxout,10,6,tight_true,-2.1550000000000002
+D_drop,256,64,32.0,32.0,32.0,32.0,0.0036820583045482635,0.0,16,,FamilyB_d10_M6_maxout_seed0,FamilyB,maxout,10,6,tight_true,-2.1550000000000002
D_transfer,14,14,14.0,14.0,14.0,14.0,0.0007539549842476845,0.0,14,14.0,SelectionStress_d2_Hid4_relu_seed0,SelectionStress,visible_relu,2,5,tight_true,-0.10000000000000005
+D_parent,14,14,14.0,14.0,14.0,14.0,0.0007045520469546318,0.0,14,14.0,SelectionStress_d2_Hid4_relu_seed0,SelectionStress,visible_relu,2,5,tight_true,-0.10000000000000005
+D_drop,63,14,7.0,7.0,7.0,7.0,0.004388940520584583,0.0,7,7.0,SelectionStress_d2_Hid4_relu_seed0,SelectionStress,visible_relu,2,5,tight_true,-0.10000000000000005
D_transfer,12,12,12.0,12.0,12.0,12.0,0.0007777772843837738,0.0,12,12.0,SelectionStress_d2_Hid4_maxout_seed0,SelectionStress,visible_maxout,2,5,tight_true,-0.1375000000000001
+D_parent,12,12,12.0,12.0,12.0,12.0,0.0007019108161330223,0.0,12,12.0,SelectionStress_d2_Hid4_maxout_seed0,SelectionStress,visible_maxout,2,5,tight_true,-0.1375000000000001
+D_drop,55,12,6.0,6.0,6.0,6.0,0.004861664958298206,0.0,6,6.0,SelectionStress_d2_Hid4_maxout_seed0,SelectionStress,visible_maxout,2,5,tight_true,-0.1375000000000001
D_transfer,24,24,24.0,24.0,24.0,24.0,0.0007583051919937134,0.0,16,,SelectionStress_d2_Hid6_relu_seed0,SelectionStress,visible_relu,2,7,tight_true,-0.10000000000000005
+D_parent,24,24,24.0,24.0,24.0,24.0,0.0006855903193354607,0.0,16,,SelectionStress_d2_Hid6_relu_seed0,SelectionStress,visible_relu,2,7,tight_true,-0.10000000000000005
+D_drop,153,24,13.0,13.0,13.0,13.0,0.0041082995012402534,0.0,12,,SelectionStress_d2_Hid6_relu_seed0,SelectionStress,visible_relu,2,7,tight_true,-0.10000000000000005
D_transfer,25,25,25.0,25.0,25.0,25.0,0.0007573859766125679,0.0,16,,SelectionStress_d2_Hid6_maxout_seed0,SelectionStress,visible_maxout,2,7,tight_true,-0.13750000000000007
+D_parent,25,25,25.0,25.0,25.0,25.0,0.0006943903863430023,0.0,16,,SelectionStress_d2_Hid6_maxout_seed0,SelectionStress,visible_maxout,2,7,tight_true,-0.13750000000000007
+D_drop,159,25,13.0,13.0,13.0,13.0,0.004075376316905022,0.0,12,,SelectionStress_d2_Hid6_maxout_seed0,SelectionStress,visible_maxout,2,7,tight_true,-0.13750000000000007
D_transfer,38,38,38.0,38.0,38.0,38.0,0.0008022785186767578,0.0,16,,SelectionStress_d2_Hid8_relu_seed0,SelectionStress,visible_relu,2,9,tight_true,-0.10000000000000002
+D_parent,38,38,38.0,38.0,38.0,38.0,0.0007379725575447083,0.0,16,,SelectionStress_d2_Hid8_relu_seed0,SelectionStress,visible_relu,2,9,tight_true,-0.10000000000000002
+D_drop,315,38,20.0,20.0,20.0,20.0,0.004204086028039455,0.0,14,,SelectionStress_d2_Hid8_relu_seed0,SelectionStress,visible_relu,2,9,tight_true,-0.10000000000000002
D_transfer,38,38,38.0,38.0,38.0,38.0,0.0007860064506530762,0.0,16,,SelectionStress_d2_Hid8_maxout_seed0,SelectionStress,visible_maxout,2,9,tight_true,-0.13750000000000012
