stage,dictionary_size_N,atomic_universe_size_m,OPT_exposed_milp,greedy,lp_rounding,local_cleanup,T_min_milp,timeout_rate,instance,family,activation,dim,modules
+D_drop,720,104,104.0,104.0,104.0,104.0,0.0030347099527716637,0.0,FamilyA_d3_M10_relu_seed0,FamilyA,relu,3,10
D_leaf,104,104,104.0,104.0,104.0,104.0,0.0009778812527656555,0.0,FamilyA_d3_M10_leakyrelu_seed0,FamilyA,leakyrelu,3,10
D_leaf+D_frag,208,104,104.0,104.0,104.0,104.0,0.001331336796283722,0.0,FamilyA_d3_M10_leakyrelu_seed0,FamilyA,leakyrelu,3,10
+D_parent,433,104,104.0,104.0,104.0,104.0,0.0020493492484092712,0.0,FamilyA_d3_M10_leakyrelu_seed0,FamilyA,leakyrelu,3,10
+D_drop,720,104,104.0,104.0,104.0,104.0,0.0029952675104141235,0.0,FamilyA_d3_M10_leakyrelu_seed0,FamilyA,leakyrelu,3,10
D_leaf,104,104,104.0,104.0,104.0,104.0,0.000983511097729206,0.0,FamilyA_d3_M10_abs_seed0,FamilyA,abs,3,10
D_leaf+D_frag,208,104,104.0,104.0,104.0,104.0,0.0013250065967440605,0.0,FamilyA_d3_M10_abs_seed0,FamilyA,abs,3,10
+D_parent,433,104,104.0,104.0,104.0,104.0,0.0020450688898563385,0.0,FamilyA_d3_M10_abs_seed0,FamilyA,abs,3,10
+D_drop,720,104,104.0,104.0,104.0,104.0,0.003024490550160408,0.0,FamilyA_d3_M10_abs_seed0,FamilyA,abs,3,10
D_leaf,114,114,114.0,114.0,114.0,114.0,0.001029154285788536,0.0,FamilyA_d3_M10_maxout_seed0,FamilyA,maxout,3,10
D_leaf+D_frag,228,114,114.0,114.0,114.0,114.0,0.0013965209946036339,0.0,FamilyA_d3_M10_maxout_seed0,FamilyA,maxout,3,10
+D_parent,459,114,114.0,114.0,114.0,114.0,0.0021416964009404182,0.0,FamilyA_d3_M10_maxout_seed0,FamilyA,maxout,3,10
+D_drop,740,114,114.0,114.0,114.0,114.0,0.0030928654596209526,0.0,FamilyA_d3_M10_maxout_seed0,FamilyA,maxout,3,10
D_leaf,52,52,52.0,52.0,52.0,52.0,0.0008232900872826576,0.0,FamilyB_d5_M6_relu_seed0,FamilyB,relu,5,6
D_leaf+D_frag,104,52,52.0,52.0,52.0,52.0,0.000949379988014698,0.0,FamilyB_d5_M6_relu_seed0,FamilyB,relu,5,6
+D_parent,168,52,52.0,52.0,52.0,52.0,0.001201416365802288,0.0,FamilyB_d5_M6_relu_seed0,FamilyB,relu,5,6
+D_drop,192,52,52.0,52.0,52.0,52.0,0.0012311795726418495,0.0,FamilyB_d5_M6_relu_seed0,FamilyB,relu,5,6
D_leaf,62,62,62.0,62.0,62.0,62.0,0.0008604833856225014,0.0,FamilyB_d5_M6_maxout_seed0,FamilyB,maxout,5,6
D_leaf+D_frag,124,62,62.0,62.0,62.0,62.0,0.001018604263663292,0.0,FamilyB_d5_M6_maxout_seed0,FamilyB,maxout,5,6
+D_parent,188,62,62.0,62.0,62.0,62.0,0.0012366101145744324,0.0,FamilyB_d5_M6_maxout_seed0,FamilyB,maxout,5,6
+D_drop,196,62,62.0,62.0,62.0,62.0,0.001253991387784481,0.0,FamilyB_d5_M6_maxout_seed0,FamilyB,maxout,5,6
D_leaf,64,64,64.0,64.0,64.0,64.0,0.0008720727637410164,0.0,FamilyB_d10_M6_relu_seed0,FamilyB,relu,10,6
D_leaf+D_frag,128,64,64.0,64.0,64.0,64.0,0.0010377056896686554,0.0,FamilyB_d10_M6_relu_seed0,FamilyB,relu,10,6
+D_parent,192,64,64.0,64.0,64.0,64.0,0.0012452807277441025,0.0,FamilyB_d10_M6_relu_seed0,FamilyB,relu,10,6
+D_drop,192,64,64.0,64.0,64.0,64.0,0.001232529990375042,0.0,FamilyB_d10_M6_relu_seed0,FamilyB,relu,10,6
D_leaf,64,64,64.0,64.0,64.0,64.0,0.0008737239986658096,0.0,FamilyB_d10_M6_maxout_seed0,FamilyB,maxout,10,6
D_leaf+D_frag,128,64,64.0,64.0,64.0,64.0,0.0010444661602377892,0.0,FamilyB_d10_M6_maxout_seed0,FamilyB,maxout,10,6
+D_parent,192,64,64.0,64.0,64.0,64.0,0.0012228991836309433,0.0,FamilyB_d10_M6_maxout_seed0,FamilyB,maxout,10,6
+D_drop,192,64,64.0,64.0,64.0,64.0,0.0012385901063680649,0.0,FamilyB_d10_M6_maxout_seed0,FamilyB,maxout,10,6
D_leaf,14,14,14.0,14.0,14.0,14.0,0.00076291523873806,0.0,SelectionStress_d2_Hid4_relu_seed0,SelectionStress,visible_relu,2,5
D_leaf+D_frag,162,14,14.0,14.0,14.0,14.0,0.0012293988838791847,0.0,SelectionStress_d2_Hid4_relu_seed0,SelectionStress,visible_relu,2,5
+D_parent,199,14,2.0,2.0,2.0,2.0,0.0014745565131306648,0.0,SelectionStress_d2_Hid4_relu_seed0,SelectionStress,visible_relu,2,5
+D_drop,284,14,2.0,2.0,2.0,2.0,0.0019983453676104546,0.0,SelectionStress_d2_Hid4_relu_seed0,SelectionStress,visible_relu,2,5
D_leaf,12,12,12.0,12.0,12.0,12.0,0.0007692063227295876,0.0,SelectionStress_d2_Hid4_maxout_seed0,SelectionStress,visible_maxout,2,5
D_leaf+D_frag,124,12,12.0,12.0,12.0,12.0,0.001089518889784813,0.0,SelectionStress_d2_Hid4_maxout_seed0,SelectionStress,visible_maxout,2,5
+D_parent,157,12,2.0,2.0,2.0,2.0,0.0013103950768709183,0.0,SelectionStress_d2_Hid4_maxout_seed0,SelectionStress,visible_maxout,2,5
+D_drop,242,12,2.0,2.0,2.0,2.0,0.0018091415986418724,0.0,SelectionStress_d2_Hid4_maxout_seed0,SelectionStress,visible_maxout,2,5
D_leaf,24,24,24.0,24.0,24.0,24.0,0.0007715867832303047,0.0,SelectionStress_d2_Hid6_relu_seed0,SelectionStress,visible_relu,2,7
D_leaf+D_frag,598,24,24.0,24.0,24.0,24.0,0.003613872453570366,0.0,SelectionStress_d2_Hid6_relu_seed0,SelectionStress,visible_relu,2,7
+D_parent,678,24,2.0,2.0,2.0,2.0,0.004292742349207401,0.0,SelectionStress_d2_Hid6_relu_seed0,SelectionStress,visible_relu,2,7
+D_drop,678,24,2.0,2.0,2.0,2.0,0.004329695366322994,0.0,SelectionStress_d2_Hid6_relu_seed0,SelectionStress,visible_relu,2,7
D_leaf,25,25,25.0,25.0,25.0,25.0,0.0007700957357883453,0.0,SelectionStress_d2_Hid6_maxout_seed0,SelectionStress,visible_maxout,2,7
D_leaf+D_frag,522,25,25.0,25.0,25.0,25.0,0.003125818446278572,0.0,SelectionStress_d2_Hid6_maxout_seed0,SelectionStress,visible_maxout,2,7
+D_parent,600,25,2.0,2.0,2.0,2.0,0.0037741446867585182,0.0,SelectionStress_d2_Hid6_maxout_seed0,SelectionStress,visible_maxout,2,7
+D_drop,600,25,2.0,2.0,2.0,2.0,0.003791424445807934,0.0,SelectionStress_d2_Hid6_maxout_seed0,SelectionStress,visible_maxout,2,7
D_leaf,38,38,38.0,38.0,38.0,38.0,0.0008065588772296906,0.0,SelectionStress_d2_Hid8_relu_seed0,SelectionStress,visible_relu,2,9
D_leaf+D_frag,4608,38,38.0,38.0,38.0,38.0,0.09870829805731773,0.0,SelectionStress_d2_Hid8_relu_seed0,SelectionStress,visible_relu,2,9
+D_parent,4757,38,2.0,2.0,2.0,2.0,0.10177325084805489,0.0,SelectionStress_d2_Hid8_relu_seed0,SelectionStress,visible_relu,2,9
