instance,family,activation,dim,modules,H,U_eq_align,OPT_eq_exposed_milp,compression_factor_exact,proof_cell_count,bytes_core_tab,bytes_core_bin,bytes_archive_tab,bytes_archive_tree,bytes_archive_bin,archive_to_core_bin_ratio,bytes_core_per_cell_bin,bytes_archive_per_cell_bin,serialized_node_count_core_tab,serialized_node_count_archive_tree,T_check_core_tab,T_check_core_bin,T_check_archive_tab,T_check_archive_tree,T_check_archive_bin,bytes_tab,bytes_tree,bytes_bin,serialized_node_count_tab,serialized_node_count_tree,T_check,T_check_per_cell
SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5,5,24,2.0,12.0,2,1324,579,404452,418097,96979,167.49395509499138,289.5,48489.5,2,63,8.115638047456741e-05,4.325341433286667e-05,0.0012805936858057976,0.0011905068531632423,0.0008096490055322647,404452,418097,96979,2,63,0.0008096490055322647,0.00040482450276613235
SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5,5,25,2.0,12.5,2,1349,587,455015,468661,106752,181.8603066439523,293.5,53376.0,2,63,8.27861949801445e-05,4.399288445711136e-05,0.0017063738778233528,0.0013340972363948822,0.0008907252922654152,455015,468661,106752,2,63,0.0008907252922654152,0.0004453626461327076
SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7,7,65,15.0,4.333333333333333,15,8399,3354,1672338,1721262,373213,111.27400119260584,223.6,24880.866666666665,15,208,0.00021972600370645523,0.00012920983135700226,0.004582383669912815,0.004861963912844658,0.0031881406903266907,1672338,1721262,373213,15,208,0.0031881406903266907,0.00021254271268844604
SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7,7,54,2.0,27.0,2,1902,824,1464491,1512899,323420,392.5,412.0,161710.0,2,193,0.00014414172619581223,6.652530282735825e-05,0.003929615952074528,0.004202835261821747,0.0026790443807840347,1464491,1512899,323420,2,193,0.0026790443807840347,0.0013395221903920174
SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9,9,104,2.0,52.0,2,2850,1229,3662385,3792445,777514,632.6395443449959,614.5,388757.0,2,465,0.00023558642715215683,0.00011111795902252197,0.009320528246462345,0.010051732882857323,0.006525014527142048,3662385,3792445,777514,2,465,0.006525014527142048,0.003262507263571024
SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9,9,100,2.0,50.0,2,2776,1194,3685547,3811406,771697,646.3123953098827,597.0,385848.5,2,451,0.00021793600171804428,0.00011750869452953339,0.00924026221036911,0.010489113628864288,0.006643462926149368,3685547,3811406,771697,2,451,0.006643462926149368,0.003321731463074684
ThresholdStress_d2_M6_seed0,ThresholdStress,positive_abs_relu_mix,2,6,6,20,20.0,1.0,20,8819,3604,240156,259133,60779,16.86431742508324,180.2,3038.95,20,101,0.00015144143253564835,0.00010837707668542862,0.0008912337943911552,0.0008264500647783279,0.0006816303357481956,240156,259133,60779,20,101,0.0006816303357481956,3.408151678740978e-05
ThresholdStress_d2_M8_seed0,ThresholdStress,positive_abs_relu_mix,2,8,8,33,33.0,1.0,33,15581,6147,544876,591068,130452,21.22205954123963,186.27272727272728,3953.090909090909,33,210,0.00024084746837615967,0.00016994215548038483,0.0016735624521970749,0.0017498480156064034,0.0013141660019755363,544876,591068,130452,33,210,0.0013141660019755363,3.982321218107686e-05
ThresholdStress_d3_M6_seed0,ThresholdStress,positive_abs_relu_mix,3,6,6,33,33.0,1.0,33,15373,6263,404949,426885,99797,15.934376496886475,189.78787878787878,3024.151515151515,33,126,0.0002352772280573845,0.00016372092068195343,0.0013721799477934837,0.0013491176068782806,0.00093825813382864,404949,426885,99797,33,126,0.00093825813382864,2.8432064661473937e-05
ThresholdStress_d3_M8_seed0,ThresholdStress,positive_abs_relu_mix,3,8,8,66,66.0,1.0,66,32495,12875,1111500,1181215,259987,20.19316504854369,195.07575757575756,3939.1969696969695,66,327,0.0005034059286117554,0.00032290443778038025,0.0033923452720046043,0.0035495776683092117,0.0024474672973155975,1111500,1181215,259987,66,327,0.0024474672973155975,3.708283783811511e-05
